dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,refrigerator1,range1,oven1
661,2018-11-21 15:15:00-06,0.0,,,,,,
661,2018-11-21 15:30:00-06,0.0,,,,,,
661,2018-11-21 15:45:00-06,0.0,,,,,,
661,2018-11-21 16:00:00-06,0.0,,,,,,
661,2018-11-21 16:15:00-06,0.0,,,,,,
661,2018-11-21 16:30:00-06,0.0,,,,,,
661,2018-11-21 16:45:00-06,0.0,,,,,,
661,2018-11-21 17:00:00-06,0.0,,,,,,
661,2018-11-21 17:15:00-06,0.0,,,,,,
661,2018-11-21 17:30:00-06,0.0,,,,,,
661,2018-11-21 17:45:00-06,0.0,,,,,,
661,2018-11-21 18:00:00-06,0.0,,,,,,
661,2018-11-21 18:15:00-06,0.0,,,,,,
661,2018-11-21 18:30:00-06,0.0,,,,,,
661,2018-11-21 18:45:00-06,0.0,,,,,,
661,2018-11-21 19:00:00-06,0.0,,,,,,
661,2018-11-21 19:15:00-06,0.0,,,,,,
661,2018-11-21 19:30:00-06,0.0,,,,,,
661,2018-11-21 19:45:00-06,0.0,,,,,,
661,2018-11-21 20:00:00-06,0.0,,,,,,
661,2018-11-21 20:15:00-06,0.0,,,,,,
661,2018-11-22 16:45:00-06,0.0,,,,,,
661,2018-11-22 17:00:00-06,0.0,,,,,,
661,2018-11-22 17:15:00-06,0.0,,,,,,
661,2018-11-22 17:30:00-06,0.0,,,,,,
661,2018-11-22 17:45:00-06,0.0,,,,,,
661,2018-11-22 18:00:00-06,0.0,,,,,,
661,2018-11-22 18:15:00-06,0.0,,,,,,
661,2018-11-22 18:30:00-06,0.0,,,,,,
661,2018-11-22 18:45:00-06,0.0,,,,,,
661,2018-11-22 19:00:00-06,0.0,,,,,,
661,2018-11-22 19:15:00-06,0.0,,,,,,
661,2018-11-22 19:30:00-06,0.0,,,,,,
661,2018-11-22 19:45:00-06,0.0,,,,,,
661,2018-11-22 20:00:00-06,0.0,,,,,,
661,2018-11-22 20:15:00-06,0.0,,,,,,
661,2018-11-22 20:30:00-06,0.0,,,,,,
661,2018-11-22 20:45:00-06,0.0,,,,,,
661,2018-11-22 21:00:00-06,0.0,,,,,,
661,2018-11-22 21:15:00-06,0.0,,,,,,
661,2018-11-22 21:30:00-06,0.0,,,,,,
661,2018-11-22 21:45:00-06,0.0,,,,,,
661,2018-11-22 22:00:00-06,0.0,,,,,,
661,2018-11-22 22:15:00-06,0.0,,,,,,
661,2018-11-22 22:30:00-06,0.0,,,,,,
661,2018-11-22 22:45:00-06,0.0,,,,,,
661,2018-11-22 23:00:00-06,0.0,,,,,,
661,2018-11-22 23:15:00-06,0.0,,,,,,
661,2018-11-22 23:30:00-06,0.0,,,,,,
661,2018-11-22 23:45:00-06,0.0,,,,,,
661,2018-11-23 00:00:00-06,0.0,,,,,,
661,2018-11-23 00:15:00-06,0.0,,,,,,
661,2018-11-23 00:30:00-06,0.0,,,,,,
661,2018-11-23 00:45:00-06,0.0,,,,,,
