dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,refrigerator1,range1,oven1
3687,2014-01-01 00:00:00-06,0.0,,0.008,0.0,0.004,,0.597
3687,2014-01-01 00:15:00-06,0.0,,0.008,0.0,0.028,,0.563
3687,2014-01-01 00:30:00-06,0.0,,0.008,0.0,0.116,,0.552
3687,2014-01-01 00:45:00-06,0.0,,0.008,0.0,0.084,,0.277
3687,2014-01-01 01:00:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 01:15:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 01:30:00-06,0.0,,0.008,0.0,0.005,,0.0
3687,2014-01-01 01:45:00-06,0.0,,0.008,0.0,0.101,,0.0
3687,2014-01-01 02:00:00-06,0.0,,0.008,0.0,0.106,,0.0
3687,2014-01-01 02:15:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 02:30:00-06,0.0,,0.008,0.0,0.002,,0.0
3687,2014-01-01 02:45:00-06,0.0,,0.008,0.0,0.006,,0.0
3687,2014-01-01 03:00:00-06,0.0,,0.008,0.0,0.107,,0.0
3687,2014-01-01 03:15:00-06,0.0,,0.008,0.0,0.091,,0.0
3687,2014-01-01 03:30:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 03:45:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 04:00:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 04:15:00-06,0.0,,0.008,0.0,0.033,,0.0
3687,2014-01-01 04:30:00-06,0.0,,0.008,0.0,0.115,,0.0
3687,2014-01-01 04:45:00-06,0.0,,0.05,0.0,0.054,,0.0
3687,2014-01-01 05:00:00-06,0.0,,0.279,0.0,0.0,,0.0
3687,2014-01-01 05:15:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 05:30:00-06,0.0,,0.12,0.0,0.0,,0.0
3687,2014-01-01 05:45:00-06,0.0,,0.19,0.0,0.055,,0.0
3687,2014-01-01 06:00:00-06,0.0,,0.008,0.0,0.113,,0.0
3687,2014-01-01 06:15:00-06,0.0,,0.265,0.0,0.039,,0.0
3687,2014-01-01 06:30:00-06,0.0,,0.048,0.0,0.0,,0.0
3687,2014-01-01 06:45:00-06,0.0,,0.12,0.0,0.0,,0.0
3687,2014-01-01 07:00:00-06,0.0,,0.187,0.0,0.0,,0.0
3687,2014-01-01 07:15:00-06,0.0,,0.048,0.0,0.064,,0.0
3687,2014-01-01 07:30:00-06,0.0,,0.251,0.0,0.112,,0.0
3687,2014-01-01 07:45:00-06,0.0,,0.008,0.0,0.025,,0.0
3687,2014-01-01 08:00:00-06,0.0,,0.28,0.0,0.0,,0.0
3687,2014-01-01 08:15:00-06,0.0,,0.03,0.0,0.0,,0.0
3687,2014-01-01 08:30:00-06,0.0,,0.286,0.0,0.0,,0.0
3687,2014-01-01 08:45:00-06,0.0,,0.008,0.0,0.078,,0.0
3687,2014-01-01 09:00:00-06,0.0,,0.008,0.0,0.111,,0.0
3687,2014-01-01 09:15:00-06,0.0,,0.008,0.0,0.011,,0.0
3687,2014-01-01 09:30:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 09:45:00-06,0.0,,0.008,0.0,0.0,,0.0
3687,2014-01-01 10:00:00-06,0.0,,0.323,0.0,0.014,,0.0
3687,2014-01-01 10:15:00-06,0.0,,0.008,0.0,0.115,,0.0
3687,2014-01-01 10:30:00-06,0.0,,0.012,0.0,0.507,,0.0
3687,2014-01-01 10:45:00-06,0.0,,0.281,0.0,0.041,,0.0
