dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,refrigerator1,range1,oven1
4550,2019-06-24 14:45:00-05,,,0.02,0.0,,,
4550,2019-06-24 14:30:00-05,,,0.02,0.0,,,
4550,2019-06-24 14:15:00-05,,,0.02,0.0,,,
4550,2019-06-24 14:00:00-05,,,0.02,0.0,,,
558,2019-06-24 14:45:00-05,0.081,0.001,0.005,,,0.005,
558,2019-06-24 14:30:00-05,0.081,0.001,0.005,,,0.005,
558,2019-06-24 14:15:00-05,0.081,0.001,0.005,,,0.005,
558,2019-06-24 14:00:00-05,0.081,0.001,0.005,,,0.005,
2358,2019-06-24 14:45:00-05,,0.001,,,0.13,0.003,
2358,2019-06-24 14:30:00-05,,0.001,,,0.029,0.003,
2358,2019-06-24 14:15:00-05,,0.001,,,0.0,0.003,
2358,2019-06-24 14:00:00-05,,0.001,,,0.0,0.003,
3700,2019-06-24 14:45:00-05,,,,,0.046,,0.006
3700,2019-06-24 14:30:00-05,,,,,0.047,,0.006
3700,2019-06-24 14:15:00-05,,,,,0.027,,0.006
3700,2019-06-24 14:00:00-05,,,,,0.028,,0.006
1417,2019-06-24 14:45:00-05,0.0,0.0,0.017,0.0,0.095,,
1417,2019-06-24 14:30:00-05,0.0,0.0,0.017,0.0,0.053,,
1417,2019-06-24 14:15:00-05,-0.001,0.0,0.017,0.0,0.004,,
1417,2019-06-24 14:00:00-05,-0.001,0.0,0.017,0.0,0.096,,
5679,2019-06-24 14:45:00-05,1.092,,0.068,,,,
5679,2019-06-24 14:30:00-05,1.05,,0.068,,,,
5679,2019-06-24 14:15:00-05,1.181,,0.084,,,,
5679,2019-06-24 14:00:00-05,1.323,,0.114,,,,
5058,2019-06-24 14:45:00-05,0.009,,,,0.049,0.0,-0.002
5058,2019-06-24 14:30:00-05,0.01,,,,-0.002,0.0,-0.004
5058,2019-06-24 14:15:00-05,0.01,,,,-0.001,0.0,-0.003
5058,2019-06-24 14:00:00-05,0.009,,,,0.0,0.0,-0.002
2318,2019-06-24 14:45:00-05,,0.0,0.011,,,0.0,
2318,2019-06-24 14:30:00-05,,0.0,0.009,,,0.0,
2318,2019-06-24 14:15:00-05,,0.0,0.029,,,0.0,
2318,2019-06-24 14:00:00-05,,0.0,0.028,,,0.0,
5997,2019-06-24 14:45:00-05,,0.0,,0.0,,,
5997,2019-06-24 14:30:00-05,,0.0,,0.0,,,
5997,2019-06-24 14:15:00-05,,0.0,,0.0,,,
5997,2019-06-24 14:00:00-05,,0.0,,0.0,,,
950,2019-06-24 14:45:00-05,2.012,0.001,0.182,,0.004,0.004,-0.002
950,2019-06-24 14:30:00-05,1.822,0.0,0.169,,0.004,0.005,-0.005
950,2019-06-24 14:15:00-05,0.0,0.0,0.095,,0.071,0.004,-0.003
950,2019-06-24 14:00:00-05,0.0,0.001,0.095,,0.125,0.004,-0.001
5982,2019-06-24 14:45:00-05,,0.04,,0.0,0.009,,
5982,2019-06-24 14:30:00-05,,0.04,,0.0,0.01,,
5982,2019-06-24 14:15:00-05,,0.039,,0.0,0.009,,
5982,2019-06-24 14:00:00-05,,0.039,,0.0,0.01,,
5587,2019-06-24 14:45:00-05,0.0,0.048,0.254,0.0,,0.002,
5587,2019-06-24 14:30:00-05,0.036,0.049,0.258,0.0,,0.001,
5587,2019-06-24 14:15:00-05,0.043,0.066,0.202,0.0,,0.001,
5587,2019-06-24 14:00:00-05,0.043,0.0,0.249,0.0,,0.001,
1222,2019-06-24 14:45:00-05,,,,,,-0.001,
1222,2019-06-24 14:30:00-05,,,,,,-0.001,
1222,2019-06-24 14:15:00-05,,,,,,-0.001,
1222,2019-06-24 14:00:00-05,,,,,,-0.001,
387,2019-06-24 14:45:00-05,,0.0,,,0.114,,0.003
387,2019-06-24 14:30:00-05,,0.0,,,0.011,,0.003
387,2019-06-24 14:15:00-05,,0.0,,,0.002,,0.003
387,2019-06-24 14:00:00-05,,0.0,,,0.002,,0.003
3000,2019-06-24 14:45:00-05,0.006,0.001,,0.0,,,
3000,2019-06-24 14:30:00-05,0.006,0.001,,0.0,,,
3000,2019-06-24 14:15:00-05,0.006,0.001,,0.0,,,
3000,2019-06-24 14:00:00-05,0.006,0.001,,0.0,,,
4283,2019-06-24 14:45:00-05,,0.0,,0.001,,,
4283,2019-06-24 14:30:00-05,,0.0,,0.001,,,
4283,2019-06-24 14:15:00-05,,0.0,,0.001,,,
4283,2019-06-24 14:00:00-05,,0.0,,0.001,,,
3488,2019-06-24 14:45:00-05,0.0,0.0,0.227,,0.068,,
3488,2019-06-24 14:30:00-05,0.0,0.0,0.231,,0.084,,
3488,2019-06-24 14:15:00-05,0.0,0.0,0.231,,0.088,,
3488,2019-06-24 14:00:00-05,0.0,0.0,0.235,,0.086,,
3517,2019-06-24 14:45:00-05,0.0,,0.007,,,,
3517,2019-06-24 14:30:00-05,0.0,,0.007,,,,
3517,2019-06-24 14:15:00-05,0.0,,0.007,,,,
3517,2019-06-24 14:00:00-05,0.0,,0.006,,,,
9053,2019-06-24 14:45:00-05,,0.0,,0.0,0.031,0.003,
9053,2019-06-24 14:30:00-05,,0.0,,0.0,0.003,0.003,
9053,2019-06-24 14:15:00-05,,0.0,,0.0,0.003,0.003,
9053,2019-06-24 14:00:00-05,,0.0,,0.0,0.007,0.003,
3996,2019-06-24 14:45:00-05,,0.0,0.006,0.0,0.015,,
3996,2019-06-24 14:30:00-05,,0.0,0.006,0.0,0.073,,
3996,2019-06-24 14:15:00-05,,0.0,0.006,0.0,0.012,,
3996,2019-06-24 14:00:00-05,,0.0,0.006,0.0,0.073,,
27,2019-06-29 14:45:00-05,0.004,,,,,,
27,2019-06-29 14:30:00-05,0.008,,,,,,
27,2019-06-29 14:15:00-05,0.052,,,,,,
27,2019-06-29 14:00:00-05,0.003,,,,,,
5679,2019-06-29 14:45:00-05,1.92,,0.35,,,,
5679,2019-06-29 14:30:00-05,1.932,,0.344,,,,
5679,2019-06-29 14:15:00-05,1.953,,0.34,,,,
5679,2019-06-29 14:00:00-05,1.975,,0.346,,,,
5058,2019-06-29 14:45:00-05,0.013,,,,0.06,0.0,-0.003
5058,2019-06-29 14:30:00-05,0.151,,,,-0.002,0.0,-0.004
5058,2019-06-29 14:15:00-05,0.01,,,,0.0,0.0,-0.001
5058,2019-06-29 14:00:00-05,0.151,,,,0.035,0.0,-0.003
1222,2019-06-29 14:45:00-05,,,,,,0.0,
1222,2019-06-29 14:30:00-05,,,,,,0.0,
1222,2019-06-29 14:15:00-05,,,,,,0.0,
1222,2019-06-29 14:00:00-05,,,,,,0.0,
142,2019-06-24 14:45:00-05,,,,0.001,0.032,,0.0
142,2019-06-24 14:30:00-05,,,,0.001,0.112,,0.001
142,2019-06-24 14:15:00-05,,,,0.001,0.02,,0.001
142,2019-06-24 14:00:00-05,,,,0.001,0.001,,0.0
914,2019-06-24 14:45:00-05,,0.002,,,,0.0,0.003
914,2019-06-24 14:30:00-05,,0.002,,,,0.0,0.003
914,2019-06-24 14:15:00-05,,0.002,,,,0.0,0.003
914,2019-06-24 14:00:00-05,,0.002,,,,0.0,0.003
27,2019-06-24 14:45:00-05,0.008,,,,,,
27,2019-06-24 14:30:00-05,0.051,,,,,,
27,2019-06-24 14:15:00-05,0.003,,,,,,
27,2019-06-24 14:00:00-05,0.009,,,,,,
2096,2019-06-24 14:45:00-05,,,0.005,0.002,,,
2096,2019-06-24 14:30:00-05,,,0.005,0.002,,,
