dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,drye1,refrigerator1,range1,oven1
661,2018-01-16 18:00:00-06,0.0,0.0,0.158,0.001,0.001,0.014,,
661,2018-01-16 18:15:00-06,0.0,-0.001,0.315,0.0,0.001,0.102,,
661,2018-01-16 18:30:00-06,0.0,0.0,0.02,0.001,0.001,0.143,,
661,2018-01-16 18:45:00-06,0.0,-0.001,0.382,0.0,0.001,0.134,,
661,2018-01-16 19:00:00-06,0.0,-0.001,0.318,0.0,0.0,0.128,,
661,2018-01-16 19:15:00-06,0.0,0.0,0.223,0.001,0.001,0.123,,
661,2018-01-16 19:30:00-06,0.0,0.0,0.189,0.001,0.001,0.121,,
661,2018-01-16 19:45:00-06,0.0,-0.001,0.461,0.0,0.0,0.118,,
661,2018-01-16 20:00:00-06,0.0,-0.001,0.325,0.0,0.0,0.117,,
661,2018-01-16 20:15:00-06,0.0,-0.001,0.315,0.0,0.0,0.116,,
661,2018-01-16 20:30:00-06,0.0,-0.001,0.257,0.0,0.0,0.115,,
661,2018-01-16 20:45:00-06,0.0,-0.001,0.263,0.001,0.001,0.263,,
661,2018-01-16 21:00:00-06,0.0,-0.001,0.312,0.001,0.001,0.63,,
661,2018-01-16 21:15:00-06,0.0,0.0,0.187,0.001,0.0,0.09,,
661,2018-01-16 21:30:00-06,0.0,0.0,0.174,0.001,0.0,0.111,,
661,2018-01-16 21:45:00-06,0.0,-0.001,0.336,0.0,0.0,0.057,,
661,2018-01-16 22:00:00-06,0.0,-0.001,0.306,0.0,0.0,0.001,,
661,2018-01-16 22:15:00-06,0.0,-0.001,0.335,0.0,0.0,0.001,,
661,2018-01-16 22:30:00-06,0.0,-0.001,0.307,0.0,0.0,0.001,,
661,2018-01-16 22:45:00-06,0.0,-0.001,0.273,0.0,0.0,0.001,,
661,2018-01-16 23:00:00-06,0.0,-0.001,0.477,0.0,0.0,0.005,,
661,2018-01-16 23:15:00-06,0.0,0.0,0.204,0.001,0.0,0.146,,
661,2018-01-16 23:30:00-06,0.0,-0.001,0.305,0.0,0.0,0.036,,
661,2018-01-16 23:45:00-06,0.0,-0.001,0.387,0.0,0.0,0.001,,
661,2018-01-17 00:00:00-06,0.0,0.0,0.188,0.001,0.0,0.002,,
661,2018-01-17 00:15:00-06,0.0,-0.001,0.477,0.0,0.0,0.001,,
661,2018-01-17 00:30:00-06,0.0,0.0,0.102,0.001,0.0,0.075,,
661,2018-01-17 00:45:00-06,0.0,-0.001,0.445,0.0,0.0,0.112,,
661,2018-01-17 01:00:00-06,0.0,0.0,0.196,0.001,0.0,0.002,,
661,2018-01-17 01:15:00-06,0.0,-0.001,0.29,0.0,0.0,0.002,,
661,2018-01-17 01:30:00-06,0.0,-0.001,0.467,0.0,0.0,0.001,,
661,2018-01-17 01:45:00-06,0.0,0.0,0.148,0.001,0.0,0.069,,
661,2018-01-17 02:00:00-06,0.0,-0.001,0.479,0.0,0.0,0.129,,
661,2018-01-17 02:15:00-06,0.0,-0.001,0.313,0.0,0.0,0.001,,
661,2018-01-17 02:30:00-06,0.0,0.0,0.219,0.001,0.0,0.002,,
661,2018-01-17 02:45:00-06,0.0,-0.001,0.477,0.0,0.0,0.001,,
661,2018-01-17 03:00:00-06,0.0,0.0,0.173,0.001,0.0,0.062,,
661,2018-01-17 03:15:00-06,0.0,-0.001,0.351,0.0,0.0,0.138,,
661,2018-01-17 03:30:00-06,0.0,-0.001,0.475,0.0,0.0,0.001,,
661,2018-01-17 03:45:00-06,0.0,-0.001,0.473,0.0,0.0,0.001,,
661,2018-01-17 04:00:00-06,0.0,0.0,0.154,0.001,0.0,0.002,,
