dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,refrigerator1,range1,oven1
203,2015-01-01 18:00:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-01 18:15:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-01 18:30:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-01 18:45:00-06,0.0,,0.008,0.0,0.013,,0.0
203,2015-01-01 19:00:00-06,0.0,,0.008,0.0,0.085,,0.0
203,2015-01-01 19:15:00-06,0.0,,0.008,0.0,0.001,,0.0
203,2015-01-01 19:30:00-06,0.0,,0.008,0.0,0.029,,0.0
203,2015-01-01 19:45:00-06,0.0,,0.009,0.0,0.108,,0.0
203,2015-01-01 20:00:00-06,0.0,,0.008,0.0,0.012,,0.0
203,2015-01-01 20:15:00-06,0.0,,0.009,0.0,0.037,,0.0
203,2015-01-01 20:30:00-06,0.0,,0.009,0.0,0.109,,0.0
203,2015-01-01 20:45:00-06,0.0,,0.009,0.0,0.02,,0.0
203,2015-01-01 21:00:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-01 21:15:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-01 21:30:00-06,0.0,,0.008,0.0,0.056,,0.0
203,2015-01-01 21:45:00-06,0.0,,0.008,0.0,0.109,,0.0
203,2015-01-01 22:00:00-06,0.0,,0.008,0.0,0.016,,0.0
203,2015-01-01 22:15:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-01 22:30:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-01 22:45:00-06,0.0,,0.008,0.0,0.006,,0.0
203,2015-01-01 23:00:00-06,0.0,,0.009,0.0,0.096,,0.0
203,2015-01-01 23:15:00-06,0.0,,0.009,0.0,0.03,,0.0
203,2015-01-01 23:30:00-06,0.0,,0.008,0.0,0.105,,0.0
203,2015-01-01 23:45:00-06,0.0,,0.008,0.0,0.093,,0.0
203,2015-01-02 00:00:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-02 00:15:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-02 00:30:00-06,0.0,,0.008,0.0,0.07,,0.0
203,2015-01-02 00:45:00-06,0.0,,0.008,0.0,0.031,,0.0
203,2015-01-02 01:00:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-02 01:15:00-06,0.0,,0.008,0.0,0.0,,0.0
203,2015-01-02 01:30:00-06,0.0,,0.008,0.0,0.021,,0.0
203,2015-01-02 01:45:00-06,0.0,,0.008,0.0,0.083,,0.0
203,2015-01-02 02:00:00-06,0.0,,0.008,0.0,0.001,,0.0
