dataid,local_15min,air1,clotheswasher1,furnace1,dishwasher1,refrigerator1,range1,oven1
914,2019-06-13 03:45:00-05,,0.002,,,,0.0,0.003
4283,2019-06-13 20:45:00-05,,0.0,,0.001,,,
950,2019-06-13 01:45:00-05,0.0,0.001,0.088,,0.124,0.002,0.003
950,2019-06-13 01:30:00-05,0.0,0.001,0.088,,0.141,0.002,0.004
142,2019-06-13 12:45:00-05,,,,0.001,0.01,,0.0
142,2019-06-13 12:30:00-05,,,,0.0,0.108,,0.0
142,2019-06-13 12:15:00-05,,,,0.0,0.031,,0.0
3000,2019-06-13 19:45:00-05,0.006,0.001,,0.597,,,
27,2019-06-13 21:45:00-05,0.056,,,,,,
5679,2019-06-13 22:45:00-05,0.007,,0.015,,,,
5679,2019-06-13 22:30:00-05,0.007,,0.015,,,,
3000,2019-06-13 00:45:00-05,0.006,0.001,,0.0,,,
3000,2019-06-13 00:30:00-05,0.006,0.001,,0.0,,,
3000,2019-06-13 00:15:00-05,0.006,0.001,,0.0,,,
5587,2019-06-13 00:45:00-05,0.043,0.0,0.191,0.0,,0.002,
5587,2019-06-13 00:30:00-05,0.043,0.0,0.237,0.0,,0.002,
5587,2019-06-13 00:15:00-05,0.044,0.0,0.182,0.0,,0.002,
5587,2019-06-13 00:00:00-05,0.044,0.0,0.232,0.0,,0.002,
3700,2019-06-13 00:45:00-05,,,,,0.043,,0.006
3700,2019-06-13 00:30:00-05,,,,,0.041,,0.006
3700,2019-06-13 00:15:00-05,,,,,0.042,,0.006
3700,2019-06-13 00:00:00-05,,,,,0.044,,0.006
2358,2019-06-13 00:45:00-05,,0.001,,,0.063,0.003,
2358,2019-06-13 00:30:00-05,,0.001,,,0.0,0.003,
2358,2019-06-13 00:15:00-05,,0.001,,,0.0,0.003,
2358,2019-06-13 00:00:00-05,,0.001,,,0.073,0.003,
3488,2019-06-13 00:45:00-05,0.0,0.0,0.752,,0.066,,
3488,2019-06-13 00:30:00-05,0.0,0.0,0.755,,0.082,,
3488,2019-06-13 00:15:00-05,0.0,0.0,0.76,,0.075,,
