dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
4550,2019-06-24 14:45:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.11,0.003,,,,,0.002,,,0.004,0.005,,,,,,,0.006,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,120.625,120.75
4550,2019-06-24 14:30:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.169,0.003,,,,,0.002,,,0.004,0.064,,,,,,,0.006,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,120.456,120.558
4550,2019-06-24 14:15:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.122,0.003,,,,,0.002,,,0.004,0.017,,,,,,,0.006,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,120.513,120.629
4550,2019-06-24 14:00:00-05,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02,,,,0.159,0.003,,,,,0.002,,,0.004,0.052,,,,,,,0.006,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,121.567,121.638
558,2019-06-24 14:45:00-05,0.081,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.098,0.005,,,,0.442,,,,,,,0.124,,0.002,0.002,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,120.39,120.388
558,2019-06-24 14:30:00-05,0.081,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.026,0.005,,,,0.36,,,,,,,0.125,,0.002,0.002,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,120.495,120.578
558,2019-06-24 14:15:00-05,0.081,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.095,0.005,,,,0.383,,,,,,,0.08,,0.002,0.002,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,120.476,120.546
558,2019-06-24 14:00:00-05,0.081,,,,,,,,,,,,,,,,0.001,,,,,,0.001,,0.121,0.005,,,,0.336,,,,,,,0.005,,0.002,0.002,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,120.468,120.564
2358,2019-06-24 14:45:00-05,,,,,,0.001,,,,,,,,,,0.003,0.001,,,,,,0.001,,,,,,,0.161,0.0,,,,,,,,0.001,,,,,,,,0.0,,,,,,,,,,,,,0.003,0.13,,,,,,,,,,,,,0.0,,122.388,122.243
2358,2019-06-24 14:30:00-05,,,,,,0.001,,,,,,,,,,0.003,0.001,,,,,,0.001,,,,,,,0.06,0.0,,,,,,,,0.001,,,,,,,,0.001,,,,,,,,,,,,,0.003,0.029,,,,,,,,,,,,,0.0,,122.558,122.383
2358,2019-06-24 14:15:00-05,,,,,,0.001,,,,,,,,,,0.002,0.001,,,,,,0.001,,,,,,,0.032,0.0,,,,,,,,0.001,,,,,,,,0.001,,,,,,,,,,,,,0.003,0.0,,,,,,,,,,,,,0.0,,122.379,122.23
2358,2019-06-24 14:00:00-05,,,,,,0.001,,,,,,,,,,0.002,0.001,,,,,,0.001,,,,,,,0.032,0.0,,,,,,,,0.001,,,,,,,,0.001,,,,,,,,,,,,,0.003,0.0,,,,,,,,,,,,,0.0,,122.275,122.062
3700,2019-06-24 14:45:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.967,122.738
3700,2019-06-24 14:30:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.001,,,,,,0.002,,,,,,,,,,0.013,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,123.714,123.503
3700,2019-06-24 14:15:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456,0.0,,,,,,0.002,,,,,,,,,,0.013,,0.003,,,,0.006,,,,,,,,0.027,,,,,,,,,,,,,,,123.74,123.532
3700,2019-06-24 14:00:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457,0.0,,,,,,0.002,,,,,,,,,,0.013,,0.003,,,,0.006,,,,,,,,0.028,,,,,,,,,,,,,,,123.679,123.429
1417,2019-06-24 14:45:00-05,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.119,0.017,,,,0.451,,,,,,,,,0.007,,0.113,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,,,,,,121.859,121.353
1417,2019-06-24 14:30:00-05,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,0.011,0.017,,,,0.344,,,,,,,,,0.007,,0.153,,,,,,,,,,,,,,,,,,,,0.053,,,,,,,,,,,,,,,122.126,121.773
